epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1354.05,1.52608,1.0275,1.15089,0.68073,0.49207,0.50282,0.2333,1.96883,1.50017,1.47227,0.0005348,0.0005348,0.0005348
76,1371.11,1.49958,1.00424,1.14831,0.64417,0.53846,0.50303,0.21825,2.07395,1.56323,1.53572,0.000515,0.000515,0.000515
77,1388.81,1.49177,1.02239,1.12996,0.62623,0.52747,0.52266,0.2322,2.01204,1.51591,1.51392,0.0004952,0.0004952,0.0004952
78,1406.17,1.48197,1.03223,1.14731,0.75999,0.48719,0.52541,0.21541,2.08762,1.56816,1.56842,0.0004754,0.0004754,0.0004754
79,1423.81,1.46459,0.98783,1.13189,0.76372,0.46176,0.54643,0.23446,2.04855,1.50704,1.51522,0.0004556,0.0004556,0.0004556
80,1444.02,1.49722,0.98916,1.14977,0.7104,0.52747,0.55489,0.24308,1.98863,1.4811,1.47461,0.0004358,0.0004358,0.0004358
81,1462.45,1.48115,1.01052,1.13187,0.77383,0.48883,0.53133,0.25124,1.93879,1.51977,1.44604,0.000416,0.000416,0.000416
82,1481.83,1.47399,0.98814,1.13037,0.7278,0.50549,0.54628,0.24963,1.98198,1.4956,1.49098,0.0003962,0.0003962,0.0003962
83,1500.07,1.44147,0.96319,1.12296,0.7629,0.48352,0.54744,0.24747,2.00931,1.42874,1.52161,0.0003764,0.0003764,0.0003764
84,1517.57,1.43766,0.95312,1.13372,0.76729,0.49451,0.5429,0.26531,1.94676,1.48864,1.47453,0.0003566,0.0003566,0.0003566
85,1536.3,1.45309,0.95857,1.12414,0.77793,0.51648,0.54114,0.24389,1.9643,1.51254,1.46579,0.0003368,0.0003368,0.0003368
86,1553.82,1.47163,0.98211,1.13651,0.74631,0.50549,0.53989,0.23328,2.08983,1.52442,1.5031,0.000317,0.000317,0.000317
87,1571.2,1.41784,0.93731,1.10744,0.71493,0.47253,0.52116,0.23166,2.04431,1.52131,1.50236,0.0002972,0.0002972,0.0002972
88,1588.52,1.40029,0.93766,1.10803,0.88893,0.48352,0.5345,0.23989,2.05108,1.4774,1.52438,0.0002774,0.0002774,0.0002774
89,1606.07,1.41529,0.94749,1.11351,0.73795,0.50549,0.53549,0.23291,1.98192,1.48806,1.50796,0.0002576,0.0002576,0.0002576
90,1622.95,1.39887,0.91085,1.1049,0.77147,0.50549,0.53733,0.23035,2.00654,1.49174,1.50418,0.0002378,0.0002378,0.0002378
91,1644.5,1.42845,0.91654,1.15418,0.7596,0.49451,0.52869,0.22919,2.0448,1.4524,1.5468,0.000218,0.000218,0.000218
92,1661.36,1.36812,0.87009,1.1287,0.75909,0.50549,0.54174,0.23598,2.0041,1.44908,1.50224,0.0001982,0.0001982,0.0001982
93,1679.49,1.33668,0.85964,1.10815,0.76826,0.51648,0.55001,0.24467,1.97077,1.42999,1.45772,0.0001784,0.0001784,0.0001784
94,1696.04,1.30496,0.81802,1.10172,0.81481,0.4835,0.55167,0.25316,1.98449,1.42372,1.47457,0.0001586,0.0001586,0.0001586
95,1712.43,1.30908,0.8153,1.10086,0.78214,0.51648,0.54862,0.25326,2.01425,1.46539,1.50872,0.0001388,0.0001388,0.0001388
96,1727.52,1.31172,0.83544,1.10776,0.79546,0.52747,0.54979,0.24866,2.02095,1.4426,1.51481,0.000119,0.000119,0.000119
97,1744.18,1.30773,0.81749,1.08842,0.79974,0.52664,0.55068,0.24681,2.05964,1.43459,1.53948,9.92e-05,9.92e-05,9.92e-05
98,1760.87,1.31996,0.81552,1.09131,0.81189,0.53846,0.5549,0.241,2.03105,1.42171,1.51826,7.94e-05,7.94e-05,7.94e-05
99,1777.38,1.27833,0.78903,1.0805,0.81196,0.50549,0.56185,0.24436,2.04645,1.4132,1.52791,5.96e-05,5.96e-05,5.96e-05
100,1795.4,1.29279,0.80948,1.09137,0.84151,0.50549,0.55773,0.24619,2.00271,1.40769,1.50543,3.98e-05,3.98e-05,3.98e-05
